cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,en_wkname
0000.35.0800,1.8604417670682731,1,997,PARQUE ESTADUAL DE CAMPOS DO JORDÃO,Campos do Jordão State Park
0000.35.0801,0.5623556581986143,1,867,PARQUE ESTADUAL DO JURUPARÁ,Jurupará State Park
0000.35.0808,0.5440658049353702,1,852,ESTAÇÃO ECOLÓGICA JATAÍ,Jataí Ecological Station
0000.35.0810,1.5809935205183585,0,926,PARQUE ESTADUAL CARLOS BOTELHO,Carlos Botelho State Park
0000.35.0816,1.5763598326359833,0,956,PARQUE ESTADUAL DO MORRO DO DIABO,Morro do Diabo State Park
0000.35.0817,0.4004237288135593,2,946,ESTAÇÃO ECOLÓGICA CHAÚAS,Chauás Ecological Station
0000.35.0818,0.5551632833186231,2,1135,ESTAÇÃO ECOLÓGICA MATA DO JACARÉ,Mata do Jacaré Ecological Station
0000.35.0820,0.4075924075924076,1,1002,ESTAÇÃO ECOLÓGICA BANANAL,Bananal Ecological Station
0000.35.0823,0.7886363636363637,0,880,PARQUE ESTADUAL DE PORTO FERREIRA,Porto Ferreira State Park
0000.35.0825,0.5230414746543779,0,868,PARQUE ESTADUAL DAS FURNAS DO BOM JESUS,Furnas do Bom Jesus State Park
0000.35.0826,2.093039283252929,0,1451,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,Alto Ribeira Tourist State Park
0000.35.0831,0.765695067264574,0,892,PARQUE ESTADUAL DO JUQUERY,Juqueri State Park
0000.35.0833,0.9903743315508021,0,935,PARQUE ESTADUAL XIXOVÁ-JAPUÍ,Xixová-Japuí State Park
0000.35.0834,1.9807037457434733,0,881,PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS,Laje de Santos Marine State Park
0000.35.0836,1.4159113796576033,0,993,PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO,Mananciais de Campos do Jordão State Park
0000.35.0841,2.459830866807611,0,946,PARQUE ESTADUAL DA ILHA DO CARDOSO,Ilha do Cardoso State Park
0000.35.0844,4.098591549295775,0,923,PARQUE ESTADUAL DA CANTAREIRA,Cantareira State Park
0000.35.0845,0.7947643979057591,0,955,PARQUE ESTADUAL DO AGUAPEÍ,Aguapeí State Park
0000.35.0853,1.3650963597430408,0,934,PARQUE ESTADUAL DE VASSUNUNGA,Vassununga State Park
0000.35.0854,0.499001996007984,1,1003,PARQUE ESTADUAL DA CAMPINA DO ENCANTADO,Campina do Encantado State Park
0000.35.0855,1.676923076923077,0,910,PARQUE ESTADUAL DE ILHABELA,Ilhabela State Park
0000.35.0856,1.812375249500998,0,1002,PARQUE ESTADUAL DA ILHA ANCHIETA,Ilha Anchieta State Park
0000.35.0857,0.6835294117647058,0,850,ESTAÇÃO ECOLÓGICA DOS CAETETUS,Caetetus Ecological Station
0000.35.0862,1.3402061855670102,0,1067,ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,Juréia-Itatins Ecological Station
0000.35.0870,0.6589473684210526,0,950,PARQUE ESTADUAL DO RIO PEIXE,Rio do Peixe State Park
0000.35.0911,0.6004319654427646,0,926,ESTAÇÃO ECOLÓGICA DE XITUÉ,Xitué Ecological Station
0000.35.1672,0.509822263797942,0,1069,ESTAÇÃO ECOLÓGICA DO BARREIRO RICO,Barreiro Rico Ecological Station
0000.35.1675,0.8757961783439491,0,942,PARQUE ESTADUAL CAVERNA DO DIABO,Caverna do Diabo State Park
0000.35.1676,2.7680690399137,0,927,PARQUE ESTADUAL INTERVALES,Intervales State Park
0000.35.1677,0.5201877934272301,0,1065,PARQUE ESTADUAL DO ITINGUÇU,Itinguçu State Park
0000.35.1678,0.9361022364217252,0,939,PARQUE ESTADUAL LAGAMAR DE CANANEIA,Lagamar de Cananéia State Park
0000.35.1679,0.43808630393996245,0,1066,PARQUE ESTADUAL DO PRELADO,Prelado State Park
0000.35.1681,0.64037558685446,0,1065,REFÚGIO DE VIDA SILVESTRE DAS ILHAS DO ABRIGO E GUARARITAMA,Ilhas do Abrigo e Guararitama Wildlife Refuge
0000.35.1685,0.5010660980810234,0,938,RESERVA EXTRATIVISTA ILHA DO TUMBA,Ilha do Tumba Extractive Reserve
0000.35.1686,0.720510095642933,0,941,RESERVA EXTRATIVISTA TAQUARI,Taquari Extractive Reserve
0000.35.1687,0.8908748824082785,0,1063,RDS DA BARRA DO UNA,Barra do Una Sustainable Development Reserve
0000.35.1688,0.34328358208955223,0,938,RDS BARREIRO ANHEMAS,Barreiro/Anhemas Sustainable Development Reserve
0000.35.1689,0.30639097744360905,1,1065,RDS DO DESPRAIADO,Despraiado Sustainable Development Reserve
0000.35.1690,0.26091586794462196,1,940,RDS LAVRAS,Lavras Sustainable Development Reserve
0000.35.1691,0.3425827107790822,1,938,RDS DOS PINHEIRINHOS,Pinheirinhos Sustainable Development Reserve
0000.35.1692,0.39658848614072495,0,938,RDS QUILOMBOS DE BARRA DO TURVO,Quilombos de Barra do Turvo Sustainable Development Reserve
0000.35.1693,0.3575240128068303,1,938,RDS ITAPANHAPIMA,Itapanhapima Sustainable Development Reserve
0000.35.1697,0.727854855923159,0,937,APA CAJATI,Cajati Environmental Protection Area
0000.35.1698,0.3997985901309164,2,995,APA CAMPOS DO JORDÃO,Campos do Jordão Environmental Protection Area
0000.35.1702,0.6436903499469777,0,943,APA ILHA COMPRIDA,Ilha Comprida Environmental Protection Area
0000.35.1709,0.2892209178228389,0,937,APA PLANALTO DO TURVO,Planalto do Turvo Environmental Protection Area
0000.35.1710,0.4165781083953241,1,942,APA QUILOMBOS DO MéDIO RIBEIRA,Quilombos do Médio Ribeira Environmental Protection Area
0000.35.1713,0.28556149732620323,1,936,APA RIO PARDINHO E RIO VERMELHO,Rio Pardinho e Rio Vermelho Environmental Protection Area
0000.35.1714,0.40826612903225806,1,993,APA SãO FRANCISCO XAVIER,São Francisco Xavier Environmental Protection Area
0000.35.1715,0.5463709677419355,0,992,APA SAPUCAí MIRIM,Sapucaí Mirim Environmental Protection Area
0000.35.1716,0.6962162162162162,0,925,APA SERRA DO MAR,Serra do Mar Environmental Protection Area
0000.35.1725,0.6435432230522946,0,937,ARIE DO GUARá,Guará Area of Relevant Ecological Interest
0000.35.1964,1.7310734463276836,0,885,PARQUE ESTADUAL RESTINGA DE BERTIOGA,Restinga de Bertioga State Park
