Código UNEP-WCMC (World Conservation Monitoring Centre),codCnuc,Nome do Órgão Gestor,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN (União Internacional para a Conservação da Natureza e dos Recursos Naturais),Municípios Abrangidos,Em conformidade com o SNUC,Estados Abrangidos,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,esferaAdmin,siglaGrupo,UF,municipios,biomaIbge,biomaCrl,coordRegional,unidOrg,codCnucOld,linkOld,nomeUCOld,siglaNomeUCOld,siglaUCOld,nomeClasseOld,grupoOld,anoCriacaoOld,atoLegalOld,"DS_HISTO10,C,254Old",nomeCoordenacaoOld
 ,0000.12.1983 ,Secretaria de Estado de Meio Ambiente do Acre ,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAPIIM PENTECOSTE ,Estadual ,Área de Relevante Interesse Ecológico ,Category IV ,Mâncio Lima (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2041 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUDAL DO RIO LIBERDADE ,Estadual ,Floresta ,Category VI ,Tarauacá (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2044 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUAL DO RIO GREGóRIO ,Estadual ,Floresta ,Category VI ,Tarauacá (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2046 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUAL DO MOGNO ,Estadual ,Floresta ,Category VI ,Tarauacá (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.12.2048 ,Secretaria de Estado de Floresta do Acre ,FLORESTA ESTADUAL DO ANTIMARY ,Estadual ,Floresta ,Category VI ,Sena Madureira (AC) ,Sim ,AC ,,,,,,,,,,,,,,,,,,,,,,,,,
352134,0000.13.0981 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AMANÃ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Barcelos (AM), Coari (AM), Codajás (AM), Maraã (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352150,0000.13.0982 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ARIPUANÃ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Apuí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352154,0000.13.0983 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARARATI ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Apuí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352142,0000.13.0984 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CANUMÃ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Borba (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352139,0000.13.0985 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CUJUBIM ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Jutaí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
19769,0000.13.0986 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MAMIRAUÁ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Manaus (AM), Tefé (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352136,0000.13.0987 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PIAGAÇU PURUS ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Anori (AM), Beruri (AM), Coari (AM), Tapauá (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352137,0000.13.0988 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL RIO AMAPÁ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Manicoré (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352138,0000.13.0989 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL UACARÍ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,Carauari (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.0990 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO UATUMÃ ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Itapiranga (AM), São Sebastião do Uatumã (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352135,0000.13.0991 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA EXTRATIVISTA CATUÁ-IPIXUNA ,Estadual ,Reserva Extrativista ,Category VI ,"Coari (AM), Tefé (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.0992 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA EXTRATIVISTA DO GUARIBA ,Estadual ,Reserva Extrativista ,Category VI ,"Apuí (AM), Manicoré (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
33522,0000.13.0993 ,Secretaria de Estado do Meio Ambiente do Amazonas ,ÁREA DE PROTEÇÃO AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA ,Estadual ,Área de Proteção Ambiental ,Category V ,Manaus (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352147,0000.13.0994 ,Secretaria de Estado do Meio Ambiente do Amazonas ,ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES ,Estadual ,Área de Proteção Ambiental ,Category V ,"Iranduba (AM), Manacapuru (AM), Novo Airão (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352145,0000.13.0995 ,Secretaria de Estado do Meio Ambiente do Amazonas ,ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR TARUMÃ AÇU-TARUMÃ MIRIMA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Manaus (AM), Novo Airão (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352144,0000.13.0996 ,Secretaria de Estado do Meio Ambiente do Amazonas ,ÁREA DE PROTEÇÃO AMBIENTAL MARGEM ESQUERDA DO RIO NEGRO-SETOR ATURIÁ-APUAUZINHO ,Estadual ,Área de Proteção Ambiental ,Category V ,Manaus (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
33524,0000.13.0997 ,Secretaria de Estado do Meio Ambiente do Amazonas ,ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ ,Estadual ,Área de Proteção Ambiental ,Category V ,Nhamundá (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352155,0000.13.0998 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL APUÍ ,Estadual ,Floresta ,Category VI ,Apuí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352150,0000.13.0999 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL ARIPUANÃ ,Estadual ,Floresta ,Category VI ,Apuí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352153,0000.13.1000 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL MANICORÉ ,Estadual ,Floresta ,Category VI ,Manicoré (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352156,0000.13.1001 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL SUCUNDURI ,Estadual ,Floresta ,Category VI ,Apuí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352143,0000.13.1002 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL RIO URUBU ,Estadual ,Floresta ,Category VI ,Rio Preto da Eva (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352141,0000.13.1003 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL MAÚES ,Estadual ,Floresta ,Category VI ,Maués (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352152,0000.13.1004 ,Secretaria de Estado do Meio Ambiente do Amazonas ,PARQUE ESTADUAL GUARIBA ,Estadual ,Parque ,Category II ,Manicoré (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1006 ,Secretaria de Estado do Meio Ambiente do Amazonas ,PARQUE ESTADUAL RIO NEGRO SETOR SUL ,Estadual ,Parque ,Category II ,Novo Airão (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352149,0000.13.1007 ,Secretaria de Estado do Meio Ambiente do Amazonas ,PARQUE ESTADUAL RIO NEGRO SETOR NORTE ,Estadual ,Parque ,Category II ,Novo Airão (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
33521,0000.13.1008 ,Secretaria de Estado do Meio Ambiente do Amazonas ,PARQUE ESTADUAL SERRA DO ARACÁ ,Estadual ,Parque ,Category II ,Barcelos (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352157,0000.13.1009 ,Secretaria de Estado do Meio Ambiente do Amazonas ,PARQUE ESTADUAL SUCUNDURI ,Estadual ,Parque ,Category II ,Apuí (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
352148,0000.13.1010 ,Secretaria de Estado do Meio Ambiente do Amazonas ,PARQUE ESTADUAL SUMAÚMA ,Estadual ,Parque ,Category II ,Manaus (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
33821,0000.13.1011 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA BIOLÓGICA MORRO DOS SEIS LAGOS ,Estadual ,Reserva Biológica ,Category Ia ,São Gabriel da Cachoeira (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1506 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA EXTRATIVISTA DO RIO GREGÓRIO ,Estadual ,Reserva Extrativista ,Category VI ,Eirunepé (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1573 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO JUMA ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Manicoré (AM), Novo Aripuanã (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1730 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO NEGRO ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Iranduba (AM), Manacapuru (AM), Novo Airão (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1731 ,Secretaria de Estado do Meio Ambiente do Amazonas ,FLORESTA ESTADUAL DE TAPAUÁ ,Estadual ,Floresta ,Category VI ,"Canutama (AM), Tapauá (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1732 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL IGAPÓ-AÇU ,Estadual ,Reserva de Desenvolvimento Sustentável ,Category VI ,"Beruri (AM), Borba (AM), Manicoré (AM) ",Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.13.1733 ,Secretaria de Estado do Meio Ambiente do Amazonas ,RESERVA EXTRATIVISTA CANUTAMA ,Estadual ,Reserva Extrativista ,Category VI ,Canutama (AM) ,Sim ,AM ,,,,,,,,,,,,,,,,,,,,,,,,,
