codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0189,Serra da Mocidade National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0190,Ilha dos Lobos,2015-07-01,2019-06-20,2006-06-20
0000.00.0191,Augusto Ruschi Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0192,Contagem Biological Reserve,2015-07-01,2019-06-20,2016-05-26
0000.00.0193,Mata Escura Biological Reserve,2015-07-01,2019-06-20,2017-02-23
0000.00.0194,Abufari Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0195,Comboios Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0196,Guaribas Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0197,Pedra Talhada Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0198,Saltinho Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0199,Santa Isabel Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0200,Serra Negra Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0201,Sooretama,2015-07-01,2019-06-20,2004-10-31
0000.00.0202,Una Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0203,Atol das Rocas Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0204,Córrego do Veado Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0205,Córrego Grande Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0206,Guaporé Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0207,Gurupi Biological Reserve,2015-07-01,2019-06-20,2010-02-26
0000.00.0208,Jaru Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0209,Lago Piratuba Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0210,Rio Trombetas Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0211,Tapirapé Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0212,Tinguá Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0213,Uatumã Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0214,Arvoredo Marine Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0215,Poço das Antas Biological Reserve,2015-07-01,2019-06-20,2008-03-21
0000.00.0216,Nascentes da Serra do Cachimbo Biological Reserve,2015-07-01,2019-06-20,2016-05-27
0000.00.0217,União Biological Reserve,2015-07-01,2019-06-20,2016-05-14
0000.00.0220,Auatí-Paraná Extractive Reserve,2015-07-01,2019-06-20,2016-10-21
0000.00.0222,Chico Mendes Extractive Reserve,2015-07-01,2019-06-20,2016-06-04
0000.00.0223,Chocoaré - Mato Grosso Extractive Reserve,2015-07-01,2019-06-20,2016-09-12
0000.00.0225,Delta do Parnaíba Marine Extractive Reserve,2015-07-01,2019-06-20,2016-09-13
0000.00.0227,Maracanã Marine Extractive Reserve,2015-07-01,2019-06-20,2016-08-08
0000.00.0228,São João da Ponta Extractive Reserve,2015-07-01,2019-06-20,2016-09-10
0000.00.0230,Baixo Juruá Extractive Reserve,2015-07-01,2019-06-20,2016-10-22
0000.00.0231,Batoque Extractive Reserve,2015-07-01,2019-06-20,2016-09-13
0000.00.0232,Cazumbá-Iracema Extractive Reserve,2015-07-01,2019-06-20,2016-06-16
0000.00.0233,Lago do Cuniã Extractive Reserve,2015-07-01,2019-06-20,2016-09-03
0000.00.0234,Mandira Extractive Reserve,2015-07-01,2019-06-20,2016-09-19
0000.00.0235,Médio Juruá Extractive Reserve,2015-07-01,2019-06-20,2016-06-16
