cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,pt_wkname
0000.00.0165,9.474155754651964,0,1451,PARQUE NACIONAL DE SÃO JOAQUIM,Parque Nacional de São Joaquim
0000.00.0166,31.743625086147485,0,1451,PARQUE NACIONAL DE SETE CIDADES,Parque Nacional de Sete Cidades
0000.00.0167,14.348725017229498,0,1451,PARQUE NACIONAL DE UBAJARA,Parque Nacional de Ubajara
0000.00.0168,7.509303928325293,0,1451,PARQUE NACIONAL DO ARAGUAIA,Parque Nacional do Araguaia
0000.00.0169,6.935217091660924,0,1451,PARQUE NACIONAL DO CABO ORANGE,Parque Nacional do Cabo Orange
0000.00.0170,64.1330117160579,0,1451,PARQUE NACIONAL DO CATIMBAU,Parque Nacional do Catimbau
0000.00.0171,5.005513439007581,0,1451,PARQUE NACIONAL DO DESCOBRIMENTO,Parque Nacional do Descobrimento
0000.00.0173,17.29221226740179,0,1451,PARQUE NACIONAL DO JAÚ,Parque Nacional do Jaú
0000.00.0174,11.920744314266024,0,1451,PARQUE NACIONAL DO MONTE RORAIMA,Parque Nacional do Monte Roraima
0000.00.0175,29.998621640248103,0,1451,PARQUE NACIONAL DO PANTANAL MATOGROSSENSE,Parque Nacional do Pantanal Matogrossense
0000.00.0176,2.2145564821834722,0,1319,PARQUE NACIONAL PAU BRASIL,Parque Nacional do Pau Brasil
0000.00.0177,26.294279807029636,0,1451,PARQUE NACIONAL DO PICO DA NEBLINA,Parque Nacional do Pico da Neblina
0000.00.0178,11.923501033769814,0,1451,PARQUE NACIONAL DO SUPERAGUI,Parque Nacional de Superagüi
0000.00.0179,1.6254738438210765,0,1319,PARQUE NACIONAL VIRUÁ,Parque Nacional do Viruá
0000.00.0180,115.21295658166781,0,1451,PARQUE NACIONAL DOS LENÇOIS MARANHENSES,Parque Nacional dos Lençóis Maranhenses
0000.00.0181,3.445210199862164,0,1451,MONUMENTO NATURAL DOS PONTÕES CAPIXABAS,Monumento Natural dos Pontões Capixabas
0000.00.0182,12.088904203997243,0,1451,PARQUE NACIONAL DO MONTE PASCOAL,Parque Nacional e Histórico do Monte Pascoal
0000.00.0183,10.361819434872501,0,1451,PARQUE NACIONAL GRANDE SERTÃO VEREDAS,Parque Nacional Grande Sertão Veredas
0000.00.0184,27.003445899379738,0,1451,PARQUE NACIONAL DO ITATIAIA,Parque Nacional do Itatiaia
0000.00.0185,11.887663680220538,0,1451,PARQUE NACIONAL MARINHO DOS ABROLHOS,Parque Nacional Marinho dos Abrolhos
