cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0259,1.063303659742829,0,1011,1.0731034482758621,1,1451,Reserva Extrativista,Federal
0000.00.0260,0.6330027051397655,1,1110,0.6689655172413793,1,1451,Reserva Extrativista,Federal
0000.00.0261,0.6582397003745318,0,1068,1.3937931034482758,1,1451,Estação Ecológica,Federal
0000.00.0262,1.815988973121985,0,1451,5.346657477601654,0,1451,Parque,Federal
0000.00.0264,1.5446428571428572,0,1120,1.1996962794229309,2,1319,Parque,Federal
0000.00.0267,1.7198581560283688,0,1128,2.184848484848485,0,1320,Parque,Federal
0000.00.0270,0.7549591598599766,0,857,0.6027713625866051,1,434,Floresta,Federal
0000.00.0271,0.767921146953405,1,1117,0.3448275862068966,1,1451,Floresta,Federal
0000.00.0272,5.403170227429359,0,1451,41.664369400413506,0,1451,Parque,Federal
0000.00.0274,0.9140401146131805,0,1047,0.5741890959282263,2,1451,Reserva Extrativista,Federal
0000.00.0275,0.6547208821502413,0,1451,5.159889731219848,0,1451,Reserva Biológica,Federal
0000.00.0276,0.44991364421416236,0,1158,1.083400160384924,1,1248,Reserva Biológica,Federal
0000.00.0277,3.085458304617505,0,1451,6.179186767746382,0,1451,Parque,Federal
0000.00.0281,3.7456926257753276,0,1451,5.046175051688491,0,1451,Parque,Federal
0000.00.0282,0.46366145354185834,0,1087,0.6013793103448276,1,1451,Reserva Extrativista,Federal
0000.00.0283,0.7472745292368682,1,1010,0.7179310344827586,1,1451,Reserva Extrativista,Federal
0000.00.0284,2.629829290206649,0,1113,2.4356060606060606,0,1320,Parque,Federal
0000.00.0285,0.5759368836291914,1,1015,0.8848275862068965,1,1451,Reserva Extrativista,Federal
0000.00.1078,0.35990338164251207,1,829,0.9206896551724137,1,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1102,0.31089459698848537,0,1129,0.7246376811594203,2,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1137,0.5700354609929078,1,1129,2.5482758620689654,1,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1206,0.484070796460177,0,1130,0.5793103448275863,1,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1211,0.2898550724637681,1,829,1.066942719116632,2,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1254,0.9806678383128296,0,1138,4.025499655410062,0,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1267,0.6352657004830918,0,828,0.6790890269151139,2,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1376,1.1178033658104518,0,1129,4.7525844245348035,0,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.1517,0.8261665141811528,1,1094,1.4610613370089593,0,1451,Reserva Extrativista,Federal
0000.00.1518,0.9686520376175548,0,957,1.155065472088215,0,1451,Reserva Extrativista,Federal
0000.00.1521,0.9143145161290323,0,992,1.1392143349414197,0,1451,Área de Proteção Ambiental,Federal
0000.00.1563,0.9216216216216216,0,1110,0.64,1,1451,Reserva Extrativista,Federal
0000.00.1564,0.2490234375,0,1024,0.9324137931034483,1,1451,Reserva Extrativista,Federal
0000.00.1606,0.6078431372549019,1,1021,0.6110344827586207,1,1451,Reserva Extrativista,Federal
0000.00.1626,1.447935368043088,0,1114,0.9461713419257013,0,1319,Parque,Federal
0000.00.1628,0.8282926829268292,0,1025,0.36689655172413793,1,1451,Reserva Extrativista,Federal
0000.00.1633,2.5417789757412397,0,1113,2.0652009097801365,0,1319,Parque,Federal
0000.00.1808,1.1189387008234217,0,1093,1.5248275862068965,1,1451,Reserva Extrativista,Federal
0000.00.1809,0.863905325443787,0,1014,1.043448275862069,1,1451,Reserva Extrativista,Federal
0000.00.1812,1.6927175843694493,0,1126,7.668504479669194,0,1451,Monumento Natural,Federal
0000.00.1813,0.5969072164948453,1,971,0.9,1,1451,Refúgio de Vida Silvestre,Federal
0000.00.1880,0.7257731958762886,1,971,0.82,1,1451,Refúgio de Vida Silvestre,Federal
0000.00.1908,1.5515370705244123,0,1106,2.503787878787879,0,1320,Parque,Federal
0000.00.1909,1.3179765130984644,0,1107,0.3489655172413793,1,1451,Parque,Federal
0000.00.1910,2.12579185520362,1,1106,4.445899379738112,0,1451,Parque,Federal
0000.00.1911,0.47167868177136973,0,971,0.760854583046175,0,1451,Refúgio de Vida Silvestre,Federal
0000.00.1912,0.5973084886128365,0,966,0.6275862068965518,1,1451,Área de Proteção Ambiental,Federal
0000.00.2075,0.8715919085312225,1,1138,2.713301171605789,0,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.2093,0.5620689655172414,1,1451,1.50723638869745,0,1451,Reserva Particular do Patrimônio Natural,Federal
0000.00.2633,1.992419021364576,0,1451,4.693314955203308,0,1451,Parque,Federal
0000.00.2634,0.6898106402164111,1,1110,0.6821829855537721,2,1248,Reserva Biológica,Federal
0000.00.2874,1.4287020109689215,0,1094,3.4955203308063405,0,1451,Parque,Federal
0000.00.3136,3.591485507246377,0,1104,6.43972706595906,0,1319,Parque,Federal
0000.00.3137,1.9090909090909092,0,1100,2.331060606060606,0,1320,Parque,Federal
0000.12.0939,0.9781420765027322,0,1098,1.9862164024810476,0,1451,Parque,Estadual
0000.13.0986,7.484493452791178,0,1451,5.820124052377671,0,1451,Reserva de Desenvolvimento Sustentável,Estadual
0000.13.1006,0.9560439560439561,0,1092,0.7057201929703653,0,1451,Parque,Estadual
0000.13.1007,0.766269477543538,0,1091,1.0544452101998623,0,1451,Parque,Estadual
0000.13.1008,1.272644098810613,0,1093,3.5320468642315643,0,1451,Parque,Estadual
0000.13.1010,1.9550045913682277,0,1089,5.811853893866299,0,1451,Parque,Estadual
0000.13.1011,2.7107438016528924,0,847,1.875,0,8,Reserva Biológica,Estadual
0000.15.1021,0.6251366120218579,0,915,7.780840799448656,0,1451,Parque,Estadual
0000.15.1022,1.7834051724137931,0,928,15.584745762711865,0,354,Parque,Estadual
0000.15.1023,1.1637534498620055,1,1088,18.766368022053754,0,1451,Área de Proteção Ambiental,Estadual
0000.15.2042,0.8020257826887661,0,1086,1.0117160578911095,0,1451,Parque,Estadual
0000.16.0293,0.49216300940438873,0,957,3.2818745692625777,0,1451,Área de Proteção Ambiental,Estadual
