codCnuc,nomeUC,duplicate,cat,esfera,idEnWikiData,enNameWiki,enWikiPage,idPtWikiData,ptNameWiki,ptWikiPage,lastVerification
0000.00.1199,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA BEATRIZ DO CARNIJÓ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1200,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FREI CANECA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1201,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NOSSA SENHORA DO OITEIRO DE MARACAÍPE,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1202,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL BREJO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1203,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA MAURÍCIO DANTAS,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1204,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ALMAS,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1205,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MAJOR BADÚ LOUREIRO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1206,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ENGENHO GARGAÚ,,Reserva Particular do Patrimônio Natural,Federal,Q18470479,Engenho Gargaú Private Natural Heritage Reserve,https://en.wikipedia.org/wiki/Engenho_Garga%C3%BA_Private_Natural_Heritage_Reserve,Q18470479,Reserva Particular do Patrimônio Natural Engenho Gargaú,https://pt.wikipedia.org/wiki/Reserva_Particular_do_Patrim%C3%B4nio_Natural_Engenho_Garga%C3%BA,18011
0000.00.1207,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA VÁRZEA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1208,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA TAMANDUÁ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1209,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SANTA CLARA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1210,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PEDRA DAGUA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,NA
0000.00.1211,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PACATUBA,,Reserva Particular do Patrimônio Natural,Federal,Q10359759,Fazenda Pacatuba Private Natural Heritage Reserve,https://en.wikipedia.org/wiki/Fazenda_Pacatuba_Private_Natural_Heritage_Reserve,Q10359759,Reserva Particular do Patrimônio Natural Fazenda Pacatuba,https://pt.wikipedia.org/wiki/Reserva_Particular_do_Patrim%C3%B4nio_Natural_Fazenda_Pacatuba,18011
0000.00.1212,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TIBIRIÇÁ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1213,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SUMAÚMA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1214,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PIONEIRA,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1216,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NADIR JÚNIOR,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.1217,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO LUIZ,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
